answer	score	topic	URI
Джордж Оруэлл	0.323	англичане	http://www.wikidata.org/entity/Q3335
Исаак Ньютон	0.302	англичане	http://www.wikidata.org/entity/Q935
Уильям Блейк	0.260	англичане	http://www.wikidata.org/entity/Q41513
Том Харди	0.250	англичане	http://www.wikidata.org/entity/Q208026
Роджер Мур	0.083	англичане	http://www.wikidata.org/entity/Q134333
Дэниел Дэй-Льюис	0.083	англичане	http://www.wikidata.org/entity/Q166389
Клинт Иствуд	0.042	англичане	http://www.wikidata.org/entity/Q43203
Гарри Поттер	-0.094	англичане	http://www.wikidata.org/entity/Q3244512
Колби, Энджел	-0.146	англичане	http://www.wikidata.org/entity/Q254911
Фрейд, Люсьен	-0.240	англичане	http://www.wikidata.org/entity/Q154594
Аня Тейлор-Джой	-0.240	англичане	http://www.wikidata.org/entity/Q20882479
Доктор Ливси	-0.250	англичане	http://www.wikidata.org/entity/Q4118056
Австралия	-0.750	англичане	http://www.wikidata.org/entity/Q408
Флорида	0.521	штат США	http://www.wikidata.org/entity/Q812
Калифорния	0.500	штат США	http://www.wikidata.org/entity/Q99
Вашингтон	0.417	штат США	http://www.wikidata.org/entity/Q1223
Техас	0.292	штат США	http://www.wikidata.org/entity/Q1439
Нью-Йорк	0.208	штат США	http://www.wikidata.org/entity/Q1384
Массачусетс	0.146	штат США	http://www.wikidata.org/entity/Q771
Джорджия	0.125	штат США	http://www.wikidata.org/entity/Q1428
Аляска	0.083	штат США	http://www.wikidata.org/entity/Q797
Колорадо	-0.042	штат США	http://www.wikidata.org/entity/Q1261
Кентукки	-0.104	штат США	http://www.wikidata.org/entity/Q1603
Монтана	-0.146	штат США	http://www.wikidata.org/entity/Q1212
Виргиния	-0.167	штат США	http://www.wikidata.org/entity/Q1370
Пенсильвания	-0.229	штат США	http://www.wikidata.org/entity/Q1400
Миссури	-0.271	штат США	http://www.wikidata.org/entity/Q1581
Висконсин	-0.396	штат США	http://www.wikidata.org/entity/Q1537
Вайоминг	-0.438	штат США	http://www.wikidata.org/entity/Q1214
Гавайи	-0.500	штат США	http://www.wikidata.org/entity/Q782
Стив Джобс	0.583	специалист в области информатики	http://www.wikidata.org/entity/Q19837
Марк Цукерберг	0.438	специалист в области информатики	http://www.wikidata.org/entity/Q36215
Стив Возняк	0.229	специалист в области информатики	http://www.wikidata.org/entity/Q483382
Павел Дуров	0.208	специалист в области информатики	http://www.wikidata.org/entity/Q149067
Ларри Пейдж	0.062	специалист в области информатики	http://www.wikidata.org/entity/Q4934
Сергей Брин	0.062	специалист в области информатики	http://www.wikidata.org/entity/Q92764
Алан Тьюринг	-0.021	специалист в области информатики	http://www.wikidata.org/entity/Q7251
Эдвард Сноуден	-0.042	специалист в области информатики	http://www.wikidata.org/entity/Q13424289
Джек Дорси	-0.042	специалист в области информатики	http://www.wikidata.org/entity/Q335552
Джефф Безос	-0.062	специалист в области информатики	http://www.wikidata.org/entity/Q312556
Аркадий Волож	-0.125	специалист в области информатики	http://www.wikidata.org/entity/Q4123823
Эк, Даниэль	-0.229	специалист в области информатики	http://www.wikidata.org/entity/Q901670
Эдуардо Саверин	-0.271	специалист в области информатики	http://www.wikidata.org/entity/Q312663
Тиль, Питер	-0.354	специалист в области информатики	http://www.wikidata.org/entity/Q705525
Судха Мурти	-0.438	специалист в области информатики	http://www.wikidata.org/entity/Q3520225
коренные народы США	0.646	американцы США	http://www.wikidata.org/entity/Q49297
Джон Дэвисон Рокфеллер	0.409	американцы США	http://www.wikidata.org/entity/Q160278
Братья Коэн	0.283	американцы США	http://www.wikidata.org/entity/Q56095
Томас Алва Эдисон	0.240	американцы США	http://www.wikidata.org/entity/Q8743
Гражданство США	0.115	американцы США	http://www.wikidata.org/entity/Q15133865
белые американцы	0.054	американцы США	http://www.wikidata.org/entity/Q49078
Джей Кей Симмонс	0.042	американцы США	http://www.wikidata.org/entity/Q150482
афроамериканцы	-0.043	американцы США	http://www.wikidata.org/entity/Q49085
Джулианна Маргулис	-0.063	американцы США	http://www.wikidata.org/entity/Q229714
Ава Гарднер	-0.104	американцы США	http://www.wikidata.org/entity/Q164487
Дороти Воган	-0.156	американцы США	http://www.wikidata.org/entity/Q22915129
Лиза Боне	-0.263	американцы США	http://www.wikidata.org/entity/Q232414
Игорь Иванович Сикорский	-0.490	американцы США	http://www.wikidata.org/entity/Q212446
китайцы в США	-0.646	американцы США	http://www.wikidata.org/entity/Q1146100
Турция	0.542	турки	http://www.wikidata.org/entity/Q43
Турецкая диаспора	0.438	турки	http://www.wikidata.org/entity/Q1796235
Кылычдароглу, Кемаль	0.302	турки	http://www.wikidata.org/entity/Q44332
турецкий язык	0.271	турки	http://www.wikidata.org/entity/Q256
Шакир, Бехаэддин	0.198	турки	http://www.wikidata.org/entity/Q2616976
Турки в Германии	0.167	турки	http://www.wikidata.org/entity/Q704608
попытка военного переворота в Турции в 2016 году	0.115	турки	http://www.wikidata.org/entity/Q25906338
Месут Озиль	0.083	турки	http://www.wikidata.org/entity/Q83488
Караманлиды	-0.010	турки	http://www.wikidata.org/entity/Q252692
Тюрки	-0.042	турки	http://www.wikidata.org/entity/Q83328
Бибрас Натхо	-0.240	турки	http://www.wikidata.org/entity/Q559910
Азиаты	-0.531	турки	http://www.wikidata.org/entity/Q4058325
Германия	-0.625	турки	http://www.wikidata.org/entity/Q183
Шахматный автомат	-0.708	турки	http://www.wikidata.org/entity/Q275924
